gvkey,permno,adate,qdate,public_date,debt_capital,TICKER
002403,19393,12/31/2015,09/30/2016,01/31/2017,0.358,BMY
002403,19393,12/31/2016,12/31/2016,02/28/2017,0.341,BMY
002403,19393,12/31/2016,12/31/2016,03/31/2017,0.341,BMY
002403,19393,12/31/2016,12/31/2016,04/30/2017,0.341,BMY
002403,19393,12/31/2016,03/31/2017,05/31/2017,0.363,BMY
002403,19393,12/31/2016,03/31/2017,06/30/2017,0.363,BMY
002403,19393,12/31/2016,03/31/2017,07/31/2017,0.363,BMY
002403,19393,12/31/2016,06/30/2017,08/31/2017,0.374,BMY
002403,19393,12/31/2016,06/30/2017,09/30/2017,0.374,BMY
002403,19393,12/31/2016,06/30/2017,10/31/2017,0.374,BMY
002403,19393,12/31/2016,09/30/2017,11/30/2017,0.389,BMY
002403,19393,12/31/2016,09/30/2017,12/31/2017,0.389,BMY
002403,19393,12/31/2016,09/30/2017,01/31/2018,0.389,BMY
002403,19393,12/31/2017,12/31/2017,02/28/2018,0.465,BMY
002403,19393,12/31/2017,12/31/2017,03/31/2018,0.465,BMY
002403,19393,12/31/2017,12/31/2017,04/30/2018,0.465,BMY
002403,19393,12/31/2017,03/31/2018,05/31/2018,0.423,BMY
002403,19393,12/31/2017,03/31/2018,06/30/2018,0.423,BMY
002403,19393,12/31/2017,03/31/2018,07/31/2018,0.423,BMY
002403,19393,12/31/2017,06/30/2018,08/31/2018,0.431,BMY
002403,19393,12/31/2017,06/30/2018,09/30/2018,0.431,BMY
002403,19393,12/31/2017,06/30/2018,10/31/2018,0.431,BMY
002403,19393,12/31/2017,09/30/2018,11/30/2018,0.429,BMY
002403,19393,12/31/2017,09/30/2018,12/31/2018,0.429,BMY
002403,19393,12/31/2017,09/30/2018,01/31/2019,0.429,BMY
002403,19393,12/31/2018,12/31/2018,02/28/2019,0.397,BMY
002403,19393,12/31/2018,12/31/2018,03/31/2019,0.397,BMY
002403,19393,12/31/2018,12/31/2018,04/30/2019,0.397,BMY
002403,19393,12/31/2018,03/31/2019,05/31/2019,0.396,BMY
002403,19393,12/31/2018,03/31/2019,06/30/2019,0.396,BMY
002403,19393,12/31/2018,03/31/2019,07/31/2019,0.396,BMY
002403,19393,12/31/2018,06/30/2019,08/31/2019,0.480,BMY
002403,19393,12/31/2018,06/30/2019,09/30/2019,0.480,BMY
002403,19393,12/31/2018,06/30/2019,10/31/2019,0.480,BMY
002403,19393,12/31/2018,09/30/2019,11/30/2019,0.536,BMY
002403,19393,12/31/2018,09/30/2019,12/31/2019,0.536,BMY
002403,19393,12/31/2018,09/30/2019,01/31/2020,0.536,BMY
002403,19393,12/31/2019,12/31/2019,02/29/2020,0.492,BMY
002403,19393,12/31/2019,12/31/2019,03/31/2020,0.492,BMY
002403,19393,12/31/2019,12/31/2019,04/30/2020,0.492,BMY
002403,19393,12/31/2019,03/31/2020,05/31/2020,0.535,BMY
002403,19393,12/31/2019,03/31/2020,06/30/2020,0.535,BMY
002403,19393,12/31/2019,03/31/2020,07/31/2020,0.535,BMY
002403,19393,12/31/2019,06/30/2020,08/31/2020,0.515,BMY
002403,19393,12/31/2019,06/30/2020,09/30/2020,0.515,BMY
002403,19393,12/31/2019,06/30/2020,10/31/2020,0.515,BMY
002403,19393,12/31/2019,09/30/2020,11/30/2020,0.498,BMY
002403,19393,12/31/2019,09/30/2020,12/31/2020,0.498,BMY
002403,19393,12/31/2019,09/30/2020,01/31/2021,0.498,BMY
002403,19393,12/31/2020,12/31/2020,02/28/2021,0.590,BMY
002403,19393,12/31/2020,12/31/2020,03/31/2021,0.590,BMY
002403,19393,12/31/2020,12/31/2020,04/30/2021,0.590,BMY
002403,19393,12/31/2020,03/31/2021,05/31/2021,0.538,BMY
002403,19393,12/31/2020,03/31/2021,06/30/2021,0.538,BMY
002403,19393,12/31/2020,03/31/2021,07/31/2021,0.538,BMY
002403,19393,12/31/2020,06/30/2021,08/31/2021,0.555,BMY
002403,19393,12/31/2020,06/30/2021,09/30/2021,0.555,BMY
002403,19393,12/31/2020,06/30/2021,10/31/2021,0.555,BMY
002403,19393,12/31/2020,09/30/2021,11/30/2021,0.576,BMY
002403,19393,12/31/2020,09/30/2021,12/31/2021,0.576,BMY
008530,21936,12/31/2015,09/30/2016,01/31/2017,0.415,PFE
008530,21936,12/31/2016,12/31/2016,02/28/2017,0.439,PFE
008530,21936,12/31/2016,12/31/2016,03/31/2017,0.439,PFE
008530,21936,12/31/2016,12/31/2016,04/30/2017,0.439,PFE
008530,21936,12/31/2016,03/31/2017,05/31/2017,0.436,PFE
008530,21936,12/31/2016,03/31/2017,06/30/2017,0.436,PFE
008530,21936,12/31/2016,03/31/2017,07/31/2017,0.436,PFE
008530,21936,12/31/2016,06/30/2017,08/31/2017,0.441,PFE
008530,21936,12/31/2016,06/30/2017,09/30/2017,0.441,PFE
008530,21936,12/31/2016,06/30/2017,10/31/2017,0.441,PFE
008530,21936,12/31/2016,09/30/2017,11/30/2017,0.443,PFE
008530,21936,12/31/2016,09/30/2017,12/31/2017,0.443,PFE
008530,21936,12/31/2016,09/30/2017,01/31/2018,0.443,PFE
008530,21936,12/31/2017,12/31/2017,02/28/2018,0.403,PFE
008530,21936,12/31/2017,12/31/2017,03/31/2018,0.403,PFE
008530,21936,12/31/2017,12/31/2017,04/30/2018,0.403,PFE
008530,21936,12/31/2017,03/31/2018,05/31/2018,0.418,PFE
008530,21936,12/31/2017,03/31/2018,06/30/2018,0.418,PFE
008530,21936,12/31/2017,03/31/2018,07/31/2018,0.418,PFE
008530,21936,12/31/2017,06/30/2018,08/31/2018,0.405,PFE
008530,21936,12/31/2017,06/30/2018,09/30/2018,0.405,PFE
008530,21936,12/31/2017,06/30/2018,10/31/2018,0.405,PFE
008530,21936,12/31/2017,09/30/2018,11/30/2018,0.393,PFE
008530,21936,12/31/2017,09/30/2018,12/31/2018,0.393,PFE
008530,21936,12/31/2017,09/30/2018,01/31/2019,0.393,PFE
008530,21936,12/31/2018,12/31/2018,02/28/2019,0.423,PFE
008530,21936,12/31/2018,12/31/2018,03/31/2019,0.423,PFE
008530,21936,12/31/2018,12/31/2018,04/30/2019,0.423,PFE
008530,21936,12/31/2018,03/31/2019,05/31/2019,0.415,PFE
008530,21936,12/31/2018,03/31/2019,06/30/2019,0.415,PFE
008530,21936,12/31/2018,03/31/2019,07/31/2019,0.415,PFE
008530,21936,12/31/2018,06/30/2019,08/31/2019,0.434,PFE
008530,21936,12/31/2018,06/30/2019,09/30/2019,0.434,PFE
008530,21936,12/31/2018,06/30/2019,10/31/2019,0.434,PFE
008530,21936,12/31/2018,09/30/2019,11/30/2019,0.456,PFE
008530,21936,12/31/2018,09/30/2019,12/31/2019,0.456,PFE
008530,21936,12/31/2018,09/30/2019,01/31/2020,0.456,PFE
008530,21936,12/31/2019,12/31/2019,02/29/2020,0.477,PFE
008530,21936,12/31/2019,12/31/2019,03/31/2020,0.477,PFE
008530,21936,12/31/2019,12/31/2019,04/30/2020,0.477,PFE
008530,21936,12/31/2019,03/31/2020,05/31/2020,0.470,PFE
008530,21936,12/31/2019,03/31/2020,06/30/2020,0.470,PFE
008530,21936,12/31/2019,03/31/2020,07/31/2020,0.470,PFE
008530,21936,12/31/2019,06/30/2020,08/31/2020,0.482,PFE
008530,21936,12/31/2019,06/30/2020,09/30/2020,0.482,PFE
008530,21936,12/31/2019,06/30/2020,10/31/2020,0.482,PFE
008530,21936,12/31/2019,09/30/2020,11/30/2020,0.491,PFE
008530,21936,12/31/2019,09/30/2020,12/31/2020,0.491,PFE
008530,21936,12/31/2019,09/30/2020,01/31/2021,0.491,PFE
008530,21936,12/31/2020,12/31/2020,02/28/2021,0.419,PFE
008530,21936,12/31/2020,12/31/2020,03/31/2021,0.419,PFE
008530,21936,12/31/2020,12/31/2020,04/30/2021,0.419,PFE
008530,21936,12/31/2020,03/31/2021,05/31/2021,0.462,PFE
008530,21936,12/31/2020,03/31/2021,06/30/2021,0.462,PFE
008530,21936,12/31/2020,03/31/2021,07/31/2021,0.462,PFE
008530,21936,12/31/2020,06/30/2021,08/31/2021,0.428,PFE
008530,21936,12/31/2020,06/30/2021,09/30/2021,0.428,PFE
008530,21936,12/31/2020,06/30/2021,10/31/2021,0.428,PFE
008530,21936,12/31/2020,09/30/2021,11/30/2021,0.390,PFE
008530,21936,12/31/2020,09/30/2021,12/31/2021,0.390,PFE
006266,22111,12/31/2015,09/30/2016,01/31/2017,0.295,JNJ
006266,22111,12/31/2016,12/31/2016,02/28/2017,0.326,JNJ
006266,22111,12/31/2016,12/31/2016,03/31/2017,0.326,JNJ
006266,22111,12/31/2016,12/31/2016,04/30/2017,0.326,JNJ
006266,22111,12/31/2016,03/31/2017,05/31/2017,0.325,JNJ
006266,22111,12/31/2016,03/31/2017,06/30/2017,0.325,JNJ
006266,22111,12/31/2016,03/31/2017,07/31/2017,0.325,JNJ
006266,22111,12/31/2016,06/30/2017,08/31/2017,0.339,JNJ
006266,22111,12/31/2016,06/30/2017,09/30/2017,0.339,JNJ
006266,22111,12/31/2016,06/30/2017,10/31/2017,0.339,JNJ
006266,22111,12/31/2016,09/30/2017,11/30/2017,0.351,JNJ
006266,22111,12/31/2016,09/30/2017,12/31/2017,0.351,JNJ
006266,22111,12/31/2016,09/30/2017,01/31/2018,0.351,JNJ
006266,22111,12/31/2017,12/31/2017,02/28/2018,0.410,JNJ
006266,22111,12/31/2017,12/31/2017,03/31/2018,0.410,JNJ
006266,22111,12/31/2017,12/31/2017,04/30/2018,0.410,JNJ
006266,22111,12/31/2017,03/31/2018,05/31/2018,0.377,JNJ
006266,22111,12/31/2017,03/31/2018,06/30/2018,0.377,JNJ
006266,22111,12/31/2017,03/31/2018,07/31/2018,0.377,JNJ
006266,22111,12/31/2017,06/30/2018,08/31/2018,0.382,JNJ
006266,22111,12/31/2017,06/30/2018,09/30/2018,0.382,JNJ
006266,22111,12/31/2017,06/30/2018,10/31/2018,0.382,JNJ
006266,22111,12/31/2017,09/30/2018,11/30/2018,0.386,JNJ
006266,22111,12/31/2017,09/30/2018,12/31/2018,0.386,JNJ
006266,22111,12/31/2017,09/30/2018,01/31/2019,0.386,JNJ
006266,22111,12/31/2018,12/31/2018,02/28/2019,0.389,JNJ
006266,22111,12/31/2018,12/31/2018,03/31/2019,0.389,JNJ
006266,22111,12/31/2018,12/31/2018,04/30/2019,0.389,JNJ
006266,22111,12/31/2018,03/31/2019,05/31/2019,0.382,JNJ
006266,22111,12/31/2018,03/31/2019,06/30/2019,0.382,JNJ
006266,22111,12/31/2018,03/31/2019,07/31/2019,0.382,JNJ
006266,22111,12/31/2018,06/30/2019,08/31/2019,0.382,JNJ
006266,22111,12/31/2018,06/30/2019,09/30/2019,0.382,JNJ
006266,22111,12/31/2018,06/30/2019,10/31/2019,0.382,JNJ
006266,22111,12/31/2018,09/30/2019,11/30/2019,0.387,JNJ
006266,22111,12/31/2018,09/30/2019,12/31/2019,0.387,JNJ
006266,22111,12/31/2018,09/30/2019,01/31/2020,0.387,JNJ
006266,22111,12/31/2019,12/31/2019,02/29/2020,0.385,JNJ
006266,22111,12/31/2019,12/31/2019,03/31/2020,0.385,JNJ
006266,22111,12/31/2019,12/31/2019,04/30/2020,0.385,JNJ
006266,22111,12/31/2019,03/31/2020,05/31/2020,0.380,JNJ
006266,22111,12/31/2019,03/31/2020,06/30/2020,0.380,JNJ
006266,22111,12/31/2019,03/31/2020,07/31/2020,0.380,JNJ
006266,22111,12/31/2019,06/30/2020,08/31/2020,0.378,JNJ
006266,22111,12/31/2019,06/30/2020,09/30/2020,0.378,JNJ
006266,22111,12/31/2019,06/30/2020,10/31/2020,0.378,JNJ
006266,22111,12/31/2019,09/30/2020,11/30/2020,0.383,JNJ
006266,22111,12/31/2019,09/30/2020,12/31/2020,0.383,JNJ
006266,22111,12/31/2019,09/30/2020,01/31/2021,0.383,JNJ
006266,22111,12/31/2020,12/31/2020,02/28/2021,0.414,JNJ
006266,22111,12/31/2020,12/31/2020,03/31/2021,0.414,JNJ
006266,22111,12/31/2020,12/31/2020,04/30/2021,0.414,JNJ
006266,22111,12/31/2020,03/31/2021,05/31/2021,0.397,JNJ
006266,22111,12/31/2020,03/31/2021,06/30/2021,0.397,JNJ
006266,22111,12/31/2020,03/31/2021,07/31/2021,0.397,JNJ
006266,22111,12/31/2020,06/30/2021,08/31/2021,0.398,JNJ
006266,22111,12/31/2020,06/30/2021,09/30/2021,0.398,JNJ
006266,22111,12/31/2020,06/30/2021,10/31/2021,0.398,JNJ
006266,22111,12/31/2020,09/30/2021,11/30/2021,0.390,JNJ
006266,22111,12/31/2020,09/30/2021,12/31/2021,0.390,JNJ
007257,22752,12/31/2015,09/30/2016,01/31/2017,0.388,MRK
007257,22752,12/31/2016,12/31/2016,02/28/2017,0.408,MRK
007257,22752,12/31/2016,12/31/2016,03/31/2017,0.408,MRK
007257,22752,12/31/2016,12/31/2016,04/30/2017,0.408,MRK
007257,22752,12/31/2016,03/31/2017,05/31/2017,0.404,MRK
007257,22752,12/31/2016,03/31/2017,06/30/2017,0.404,MRK
007257,22752,12/31/2016,03/31/2017,07/31/2017,0.404,MRK
007257,22752,12/31/2016,06/30/2017,08/31/2017,0.411,MRK
007257,22752,12/31/2016,06/30/2017,09/30/2017,0.411,MRK
007257,22752,12/31/2016,06/30/2017,10/31/2017,0.411,MRK
007257,22752,12/31/2016,09/30/2017,11/30/2017,0.424,MRK
007257,22752,12/31/2016,09/30/2017,12/31/2017,0.424,MRK
007257,22752,12/31/2016,09/30/2017,01/31/2018,0.424,MRK
007257,22752,12/31/2017,12/31/2017,02/28/2018,0.445,MRK
007257,22752,12/31/2017,12/31/2017,03/31/2018,0.445,MRK
007257,22752,12/31/2017,12/31/2017,04/30/2018,0.445,MRK
007257,22752,12/31/2017,03/31/2018,05/31/2018,0.434,MRK
007257,22752,12/31/2017,03/31/2018,06/30/2018,0.434,MRK
007257,22752,12/31/2017,03/31/2018,07/31/2018,0.434,MRK
007257,22752,12/31/2017,06/30/2018,08/31/2018,0.443,MRK
007257,22752,12/31/2017,06/30/2018,09/30/2018,0.443,MRK
007257,22752,12/31/2017,06/30/2018,10/31/2018,0.443,MRK
007257,22752,12/31/2017,09/30/2018,11/30/2018,0.447,MRK
007257,22752,12/31/2017,09/30/2018,12/31/2018,0.447,MRK
007257,22752,12/31/2017,09/30/2018,01/31/2019,0.447,MRK
007257,22752,12/31/2018,12/31/2018,02/28/2019,0.516,MRK
007257,22752,12/31/2018,12/31/2018,03/31/2019,0.516,MRK
007257,22752,12/31/2018,12/31/2018,04/30/2019,0.516,MRK
007257,22752,12/31/2018,03/31/2019,05/31/2019,0.483,MRK
007257,22752,12/31/2018,03/31/2019,06/30/2019,0.483,MRK
007257,22752,12/31/2018,03/31/2019,07/31/2019,0.483,MRK
007257,22752,12/31/2018,06/30/2019,08/31/2019,0.503,MRK
007257,22752,12/31/2018,06/30/2019,09/30/2019,0.503,MRK
007257,22752,12/31/2018,06/30/2019,10/31/2019,0.503,MRK
007257,22752,12/31/2018,09/30/2019,11/30/2019,0.523,MRK
007257,22752,12/31/2018,09/30/2019,12/31/2019,0.523,MRK
007257,22752,12/31/2018,09/30/2019,01/31/2020,0.523,MRK
007257,22752,12/31/2019,12/31/2019,02/29/2020,0.545,MRK
007257,22752,12/31/2019,12/31/2019,03/31/2020,0.545,MRK
007257,22752,12/31/2019,12/31/2019,04/30/2020,0.545,MRK
007257,22752,12/31/2019,03/31/2020,05/31/2020,0.537,MRK
007257,22752,12/31/2019,03/31/2020,06/30/2020,0.537,MRK
007257,22752,12/31/2019,03/31/2020,07/31/2020,0.537,MRK
007257,22752,12/31/2019,06/30/2020,08/31/2020,0.544,MRK
007257,22752,12/31/2019,06/30/2020,09/30/2020,0.544,MRK
007257,22752,12/31/2019,06/30/2020,10/31/2020,0.544,MRK
007257,22752,12/31/2019,09/30/2020,11/30/2020,0.543,MRK
007257,22752,12/31/2019,09/30/2020,12/31/2020,0.543,MRK
007257,22752,12/31/2019,09/30/2020,01/31/2021,0.543,MRK
007257,22752,12/31/2020,12/31/2020,02/28/2021,0.600,MRK
007257,22752,12/31/2020,12/31/2020,03/31/2021,0.600,MRK
007257,22752,12/31/2020,12/31/2020,04/30/2021,0.600,MRK
007257,22752,12/31/2020,03/31/2021,05/31/2021,0.562,MRK
007257,22752,12/31/2020,03/31/2021,06/30/2021,0.562,MRK
007257,22752,12/31/2020,03/31/2021,07/31/2021,0.562,MRK
007257,22752,12/31/2020,06/30/2021,08/31/2021,0.543,MRK
007257,22752,12/31/2020,06/30/2021,09/30/2021,0.543,MRK
007257,22752,12/31/2020,06/30/2021,10/31/2021,0.543,MRK
007257,22752,12/31/2020,09/30/2021,11/30/2021,0.524,MRK
007257,22752,12/31/2020,09/30/2021,12/31/2021,0.524,MRK
